,state_idx,action_idx,rank,mape,mae,weight
0,0,0,3,0.18464828469895256,3.173869127289397,0.134
1,0,1,1,0.141128322848696,2.3036073228090332,0.134
2,0,2,0,0.12360853986913023,1.957986240817096,0.134
3,0,3,2,0.1502979519144233,2.5188079373018,0.134
4,0,4,4,0.3295912935603993,5.517279403253362,0.134
5,0,5,4,0.37916681786954554,6.224179343485356,0.134
6,0,6,7,0.5631374396855008,8.989220206585255,0.134
7,0,7,5,0.4184874489968881,6.771429273948134,0.134
8,0,8,7,0.6854062294738664,10.497500741425622,0.134
9,1,0,3,0.19143428152520633,3.333003362523975,0.134
10,1,1,1,0.14581543412779063,2.3984983122173507,0.134
11,1,2,0,0.14015019663020634,2.283585349406842,0.134
12,1,3,2,0.16036323989003784,2.7599091815961745,0.134
13,1,4,4,0.33181025364934397,5.7307327990530395,0.134
14,1,5,4,0.3598361956626941,6.084026244030404,0.134
15,1,6,6,0.5440581450741085,8.897813575002933,0.134
16,1,7,5,0.429082913263435,7.109891357795662,0.134
17,1,8,7,0.6645292606458949,10.349584063877769,0.134
18,2,0,3,0.20699062233216836,3.653008581520927,0.134
19,2,1,0,0.15262695933893083,2.5780839143720744,0.134
20,2,2,0,0.15221218868977449,2.5256323281138133,0.134
21,2,3,2,0.1645085958382678,2.9078858223951123,0.134
22,2,4,4,0.3250412044259416,5.760661517169531,0.134
23,2,5,4,0.3382125774445291,5.895691941091708,0.134
24,2,6,6,0.5311188461822333,8.862151639633034,0.134
25,2,7,6,0.4359732577615209,7.366561334193622,0.134
26,2,8,7,0.6423404619437107,10.154167439059286,0.134
27,3,0,3,0.21669671315652794,3.936031838333003,0.134
28,3,1,1,0.16301343114415154,2.820651866283912,0.134
29,3,2,0,0.15854115035943103,2.664952571670962,0.134
30,3,3,1,0.1707689922265937,3.1025054769106535,0.134
31,3,4,4,0.3186586915553658,5.827692721609062,0.134
32,3,5,4,0.3323766534130705,5.977685934230088,0.134
33,3,6,7,0.5339132701731272,9.138136252000328,0.134
34,3,7,5,0.4140726153358796,7.214971715125661,0.134
35,3,8,7,0.6214117164108569,10.00750068821446,0.134
36,4,0,3,0.21086094002974176,3.9571545751378228,0.134
37,4,1,1,0.1719761138486772,3.0054263766119576,0.134
38,4,2,0,0.16186920818387876,2.7729381136279954,0.134
39,4,3,1,0.1730863987869339,3.1998949059518735,0.134
40,4,4,4,0.3087830223664431,5.794667491445008,0.134
41,4,5,4,0.3449811361324384,6.3302643476211395,0.134
42,4,6,7,0.525287382476499,9.203481449316307,0.134
43,4,7,5,0.404033319596328,7.225877202689101,0.134
44,4,8,7,0.5999505329944743,9.822917196982395,0.134
45,5,0,3,0.20986223415909847,3.988307593993733,0.134
46,5,1,1,0.1755114331981109,3.0753060973887636,0.134
47,5,2,0,0.16352231394830447,2.840492952580861,0.134
48,5,3,2,0.1834058901853938,3.396976259924821,0.134
49,5,4,4,0.29469133175748813,5.669122464149809,0.134
50,5,5,4,0.3437023795678365,6.45316998338885,0.134
51,5,6,6,0.5084125342402682,9.122679311306571,0.134
52,5,7,5,0.40878636488115827,7.4638756310289365,0.134
53,5,8,7,0.5767064618232294,9.57000060118895,0.134
54,6,0,3,0.21333794670423967,4.153228481209083,0.134
55,6,1,1,0.18055617987370953,3.221409577511956,0.134
56,6,2,0,0.16903909044972565,3.018780127549894,0.134
57,6,3,2,0.19122333710692171,3.582963581936021,0.134
58,6,4,4,0.28546635595351094,5.600651006240532,0.134
59,6,5,4,0.3330994318046812,6.406462778647213,0.134
60,6,6,6,0.4946530305661772,9.059886773394783,0.134
61,6,7,5,0.3983680139234675,7.438542340219546,0.134
62,6,8,7,0.5525388151153982,9.284583962109709,0.134
63,7,0,2,0.20804443301894807,4.00515940866483,0.134
64,7,1,2,0.19242718951595195,3.3150206279872934,0.134
65,7,2,0,0.17850336625318075,3.1103858834216864,0.134
66,7,3,2,0.20780195091085182,3.7559162977509133,0.134
67,7,4,4,0.258107549042324,5.128289519552912,0.134
68,7,5,4,0.30923807031950307,6.063224660173687,0.134
69,7,6,6,0.46536526454694926,8.702477851640035,0.134
70,7,7,6,0.40338314455009844,7.6448352114391165,0.134
71,7,8,7,0.5248827313108023,8.858750512345425,0.134
72,8,0,2,0.21871362353090107,4.216121029644424,0.134
73,8,1,2,0.19765312833386206,3.432074832223307,0.134
74,8,2,1,0.18406954408586887,3.214772755068347,0.134
75,8,3,2,0.21855406686185,3.948032643300644,0.134
76,8,4,4,0.2576063818708904,5.189504628213088,0.134
77,8,5,4,0.2965957662343477,5.9289464123204425,0.134
78,8,6,6,0.4485368160539751,8.577346501272979,0.134
79,8,7,6,0.39968923472507684,7.739171622716395,0.134
80,8,8,6,0.5002475833157468,8.4995837290615,0.134
81,9,0,3,0.2483631297382718,4.861057301840714,0.134
82,9,1,1,0.19595065947194376,3.597136649822115,0.134
83,9,2,0,0.16936134029753636,3.22080450172999,0.134
84,9,3,2,0.2110889876257671,4.028015960919881,0.134
85,9,4,4,0.31831621139456284,6.424906322492421,0.134
86,9,5,4,0.30311146279847523,6.125565177512288,0.134
87,9,6,6,0.4431953304484117,8.61818943023745,0.134
88,9,7,5,0.38449915552451935,7.602573952232099,0.134
89,9,8,6,0.47757572141533755,8.202083835690262,0.134
90,10,0,3,0.2691573596827564,5.3467778791916105,0.134
91,10,1,1,0.20353693833075517,3.8454288694276806,0.134
92,10,2,0,0.1686077262659594,3.2343856396143593,0.134
93,10,3,1,0.20690828907879222,4.0313236178139755,0.134
94,10,4,4,0.33489745029887125,6.793628811477949,0.134
95,10,5,4,0.31982794691104194,6.472477494090737,0.134
96,10,6,6,0.45116372258666965,8.857341518593211,0.134
97,10,7,4,0.37785817225834545,7.564145709607253,0.134
98,10,8,6,0.4553778095378013,7.917500488737143,0.134
99,11,0,3,0.27066686436428217,5.3947155251886985,0.134
100,11,1,1,0.20456569105570285,3.9066673550654265,0.134
101,11,2,0,0.16851065971324683,3.2388291100456708,0.134
102,11,3,1,0.2080468757357344,4.047112029072842,0.134
103,11,4,4,0.3747981395294413,7.5506977266371615,0.134
104,11,5,4,0.34990649474878466,7.051644513024532,0.134
105,11,6,5,0.44673279559820606,8.828927221776958,0.134
106,11,7,4,0.37448667053105017,7.534477921993884,0.134
107,11,8,4,0.4316348374311265,7.590000312848601,0.134
108,12,0,3,0.2761151809346815,5.481287953956929,0.134
109,12,1,1,0.21468349750949645,4.180335605164049,0.134
110,12,2,0,0.1619278842701505,3.0850123340235474,0.134
111,12,3,1,0.2106864114952598,4.067796738830867,0.134
112,12,4,4,0.38122996916900864,7.63219588305093,0.134
113,12,5,4,0.3832902903581024,7.623033292455529,0.134
114,12,6,5,0.4798999432652346,9.41851195184759,0.134
115,12,7,4,0.3574770521944057,7.219018314694375,0.134
116,12,8,4,0.40544222738644936,7.219583566609145,0.134
117,13,0,3,0.3840794000707462,7.410758846880799,0.134
118,13,1,0,0.3050050590641439,5.935676085936971,0.134
119,13,2,0,0.30065131837263753,5.737609923528176,0.134
120,13,3,0,0.315538394798373,6.135408697253761,0.134
121,13,4,5,0.5120790365845819,9.900053788280692,0.134
122,13,5,3,0.4468178882483853,8.693805209895368,0.134
123,13,6,5,0.5062416882955524,9.857744669298306,0.134
124,13,7,3,0.40132728493059555,7.971722589153454,0.134
125,13,8,3,0.3894409593994112,7.077916930948419,0.134
126,14,0,3,0.4096052366126539,7.816173256805361,0.134
127,14,1,0,0.2988899260159527,5.875871818121124,0.134
128,14,2,0,0.28489266449745676,5.538720710525347,0.134
129,14,3,0,0.3207147673287271,6.192617653483008,0.134
130,14,4,3,0.46583044512580757,9.014848013198291,0.134
131,14,5,4,0.4670749933835608,8.989647465878166,0.134
132,14,6,4,0.49502845998046635,9.626055766107742,0.134
133,14,7,3,0.3993182067073946,7.89510654988329,0.134
134,14,8,2,0.36463303053402213,6.782916897884779,0.134
135,15,0,3,0.3845372919773773,7.294247727762493,0.134
136,15,1,0,0.28133803986372913,5.535082065165658,0.134
137,15,2,0,0.26784727534552816,5.236204649227336,0.134
138,15,3,0,0.31561370671052114,6.024655992251065,0.134
139,15,4,3,0.4255432450937618,8.214059945323976,0.134
140,15,5,5,0.4855375967500733,9.270373733956555,0.134
141,15,6,4,0.47496233500068596,9.232649455961631,0.134
142,15,7,3,0.39093689413892396,7.754958687860323,0.134
143,15,8,2,0.3465736511833881,6.55666687627965,0.134
144,16,0,2,0.3247708130623037,6.159721211573839,0.134
145,16,1,0,0.2428795246233247,4.68605026430226,0.134
146,16,2,0,0.23445165833014547,4.559400161144587,0.134
147,16,3,0,0.27385442076064775,5.170537018177947,0.134
148,16,4,3,0.38349900943283516,7.430556851201275,0.134
149,16,5,5,0.4320077647992308,8.317930190299428,0.134
150,16,6,5,0.43136449570839713,8.47724049623852,0.134
151,16,7,3,0.38904663122899513,7.738107259840416,0.134
152,16,8,3,0.33973321396221046,6.396666825022862,0.134
153,17,0,2,0.2818084410250792,5.333148530676856,0.112
154,17,1,0,0.22678868759838253,4.098193724120695,0.112
155,17,2,0,0.22488168862727378,4.170631216300667,0.112
156,17,3,0,0.24065385600646527,4.499852756929196,0.112
157,17,4,3,0.3083414076782985,6.018754904541585,0.112
158,17,5,5,0.3791694828339645,7.3896575252866725,0.112
159,17,6,5,0.388296321082144,7.701702324791968,0.112
160,17,7,5,0.3790319664232955,7.516375958794523,0.112
161,17,8,4,0.34677963738437684,6.306250098714034,0.112
162,18,0,2,0.24490957206837918,4.514085638264005,0.112
163,18,1,2,0.23106039811317336,3.664725502444911,0.112
164,18,2,0,0.21103850720666317,3.5520437599682304,0.112
165,18,3,2,0.23050785475309846,4.163605690738732,0.112
166,18,4,3,0.2838899542672979,5.43129084345225,0.112
167,18,5,5,0.3542535572867267,6.8806925992674906,0.112
168,18,6,5,0.3783828337035849,7.418456708250186,0.112
169,18,7,5,0.36292263265992636,6.962422021465102,0.112
170,18,8,5,0.36685543742730514,6.259166696648729,0.112
171,19,0,2,0.22909617840992144,3.9962398412773923,0.112
172,19,1,2,0.24140928051254762,3.2822613893032258,0.112
173,19,2,1,0.21613718695541403,3.3952502007413856,0.112
174,19,3,1,0.2197365344551779,3.8273946076866188,0.112
175,19,4,4,0.26847349609423343,4.884397525652772,0.112
